category	text
Kings of England	Mary 1553
Kings of England	Elizabeth 1558
Kings of England	James 1st 1603
Kings of England	Charles 1st 1625
Kings of England	Charles 2d 1660
Kings of England	James 2d 1685
Kings of England	William 3d 1689
Kings of England	Ann 1702
Kings of England	George 1st 1714
Kings of England	George 2d 1727
Kings of England	George 3d 1760
