text,name,in_1764,in_1778,in_names_omitted,division,occupation_abbr,occupation,sect_abbr,sect,start_1,end_1,start_2,end_2,born,born_about,died,died_about,died_after,age,flourished,flourished_about,flourished_before,flourished_after,flourished_century,lived
Avienus (Rufas Festus) fl. 286 P,Avienus (Rufas Festus),TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,266,296,236,316,,,,,,,286,FALSE,FALSE,FALSE,FALSE,
Avitus d. 455,Avitus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,425,455,385,455,,,455,FALSE,FALSE,,,,,,,
Aungerville d. 1345. 64 D,Aungerville,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1281,1345,1281,1345,,,1345,FALSE,FALSE,64,,,,,,
Aurelian d. 275. 63,Aurelian,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,212,275,212,275,,,275,FALSE,FALSE,63,,,,,,
Aurelius d. 180. 58,Aurelius,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,122,180,122,180,,,180,FALSE,FALSE,58,,,,,,
Aurengzebe d. 1707. 90,Aurengzebe,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1617,1707,1617,1707,,,1707,FALSE,FALSE,90,,,,,,
Ausonius d. ab. 394 P,Ausonius,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,364,394,324,394,,,394,TRUE,FALSE,,,,,,,
Austin d. 430. 76 F,Austin,TRUE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,354,430,354,430,,,430,FALSE,FALSE,76,,,,,,
Austin the Monk d. 605. D,Austin the Monk,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,575,605,535,605,,,605,FALSE,FALSE,,,,,,,
Autharis the Lombard d. 590,Autharis the Lombard,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,560,590,520,590,,,590,FALSE,FALSE,,,,,,,
Autolycus fl. 330 BC M,Autolycus,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,-349,-319,-379,-299,,,,,,,-329,FALSE,FALSE,FALSE,FALSE,
Azophi fl. 934 M.,Azophi,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,914,944,884,964,,,,,,,934,FALSE,FALSE,FALSE,FALSE,
Bacchylides fl. 480 BC P,Bacchylides,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-499,-469,-529,-449,,,,,,,-479,FALSE,FALSE,FALSE,FALSE,
"Bacon, Francis, d. 1626. 66 M","Bacon, Francis,",TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1560,1626,1560,1626,,,1626,FALSE,FALSE,66,,,,,,
"Bacon, Roger, d. 1292. 78 M","Bacon, Roger,",TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1214,1292,1214,1292,,,1292,FALSE,FALSE,78,,,,,,
Baconthorp d. 1346 D,Baconthorp,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1316,1346,1276,1346,,,1346,FALSE,FALSE,,,,,,,
Bajazet d. 1403. 58,Bajazet,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1345,1403,1345,1403,,,1403,FALSE,FALSE,58,,,,,,
Baldwin Emperor d. 1206,Baldwin Emperor,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1176,1206,1136,1206,,,1206,FALSE,FALSE,,,,,,,
Balsamon d. 1203 L,Balsamon,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1173,1203,1133,1203,,,1203,FALSE,FALSE,,,,,,,
Barbarini b. 1264 P,Barbarini,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1264,1294,1264,1324,1264,FALSE,,,,,,,,,,
Barbarossa d. 1517. 43,Barbarossa,TRUE,FALSE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1474,1517,1474,1517,,,1517,FALSE,FALSE,43,,,,,,
Barbarossa d. 1517.,Barbarossa,FALSE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1487,1517,1447,1517,,,1517,FALSE,FALSE,,,,,,,
Barchochab d. 132,Barchochab,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,102,132,62,132,,,132,FALSE,FALSE,,,,,,,
Barclay R. d. 1690. 41 D,Barclay R.,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1649,1690,1649,1690,,,1690,FALSE,FALSE,41,,,,,,
Barlaam Calaber fl. 1337 D,Barlaam Calaber,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1317,1347,1287,1367,,,,,,,1337,FALSE,FALSE,FALSE,FALSE,
Barnes J. d. 1712. 57 Cr,Barnes J.,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1655,1712,1655,1712,,,1712,FALSE,FALSE,57,,,,,,
Barneveldt d. 1619. 72,Barneveldt,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1547,1619,1547,1619,,,1619,FALSE,FALSE,72,,,,,,
Baronius d. 1607. 69 H,Baronius,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1538,1607,1538,1607,,,1607,FALSE,FALSE,69,,,,,,
Barrow d. 1677. 46 M,Barrow,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1631,1677,1631,1677,,,1677,FALSE,FALSE,46,,,,,,
Barsumas fl. 435 F,Barsumas,FALSE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,415,445,385,465,,,,,,,435,FALSE,FALSE,FALSE,FALSE,
Bartholin d. 1680. 64 Ph,Bartholin,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,1616,1680,1616,1680,,,1680,FALSE,FALSE,64,,,,,,
Bartolus d. 1359. 46 L,Bartolus,TRUE,FALSE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1313,1359,1313,1359,,,1359,FALSE,FALSE,46,,,,,,
Bartolus d. 1359. 46 D,Bartolus,FALSE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1313,1359,1313,1359,,,1359,FALSE,FALSE,46,,,,,,
Barwick J. fl. 1340 M,Barwick J.,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1320,1350,1290,1370,,,,,,,1340,FALSE,FALSE,FALSE,FALSE,
Barwick J. fl. 1340,Barwick J.,FALSE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1320,1350,1290,1370,,,,,,,1340,FALSE,FALSE,FALSE,FALSE,
Basil d. 378. 51 F,Basil,TRUE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,327,378,327,378,,,378,FALSE,FALSE,51,,,,,,
Basilides fl. 112 F,Basilides,TRUE,FALSE,FALSE,Divines and Metaphysicians,F,Christian Father,,,92,122,62,142,,,,,,,112,FALSE,FALSE,FALSE,FALSE,
Basilides d. ab. 130 F,Basilides,FALSE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,100,130,60,130,,,130,TRUE,FALSE,,,,,,,
Basilius Seleuciae fl. 455 F,Basilius Seleuciae,TRUE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,435,465,405,485,,,,,,,455,FALSE,FALSE,FALSE,FALSE,
Basnage d. 1723. 70 H,Basnage,FALSE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1653,1723,1653,1723,,,1723,FALSE,FALSE,70,,,,,,
Basnage d. 173. 70 H,Basnage,FALSE,FALSE,TRUE,"Historians, Antiquarians, and Lawyers",H,Historian,,,103,173,103,173,,,173,FALSE,FALSE,70,,,,,,
Bassano Senior d.1592 82 Pa,Bassano Senior,FALSE,TRUE,TRUE,Poets and Artists,Pa,Painter,,,1510,1592,1510,1592,,,1592,FALSE,FALSE,82,,,,,,
Batecomb G. fl. 1410 M,Batecomb G.,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1390,1420,1360,1440,,,,,,,1410,FALSE,FALSE,FALSE,FALSE,
Batecumb G. fl. 1410 M,Batecumb G.,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1390,1420,1360,1440,,,,,,,1410,FALSE,FALSE,FALSE,FALSE,
Battus fl. 633 BC,Battus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-652,-622,-682,-602,,,,,,,-632,FALSE,FALSE,FALSE,FALSE,
Bayer d. 1627 M,Bayer,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1597,1627,1557,1627,,,1627,FALSE,FALSE,,,,,,,
Bayle d. 1706. 59 Mor,Bayle,TRUE,TRUE,FALSE,Divines and Metaphysicians,Mor,Moralist,,,1647,1706,1647,1706,,,1706,FALSE,FALSE,59,,,,,,
Baxter d. 1691. 76 D,Baxter,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1615,1691,1615,1691,,,1691,FALSE,FALSE,76,,,,,,
Becanus J. fl. 1350 H,Becanus J.,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1330,1360,1300,1380,,,,,,,1350,FALSE,FALSE,FALSE,FALSE,
Becket d. 1171 D,Becket,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1141,1171,1101,1171,,,1171,FALSE,FALSE,,,,,,,
Bede d. 735. 70 H,Bede,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,665,735,665,735,,,735,FALSE,FALSE,70,,,,,,
Bedel d. 1642. 72 D,Bedel,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1570,1642,1570,1642,,,1642,FALSE,FALSE,72,,,,,,
Bedford (Duke of) d. 1435,Bedford (Duke of),TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1405,1435,1365,1435,,,1435,FALSE,FALSE,,,,,,,
Belisarius d. 565,Belisarius,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,535,565,495,565,,,565,FALSE,FALSE,,,,,,,
Bellarmine d. 1621. 79 D,Bellarmine,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1542,1621,1542,1621,,,1621,FALSE,FALSE,79,,,,,,
Bellini d. 1511. 90 Pa,Bellini,TRUE,TRUE,FALSE,Poets and Artists,Pa,Painter,,,1421,1511,1421,1511,,,1511,FALSE,FALSE,90,,,,,,
Bembo d. 1547. 68 H,Bembo,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1479,1547,1479,1547,,,1547,FALSE,FALSE,68,,,,,,
Benedict d. ab. 546. 66 F,Benedict,TRUE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,480,546,480,546,,,546,TRUE,FALSE,66,,,,,,
Benhadad d. 895 BC,Benhadad,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-924,-894,-964,-894,,,-894,FALSE,FALSE,,,,,,,
Bentley d. 1742. 80 Cr,Bentley,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1662,1742,1662,1742,,,1742,FALSE,FALSE,80,,,,,,
Berengarius d. 924,Berengarius,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,894,924,854,924,,,924,FALSE,FALSE,,,,,,,
Berenger d. 1088. 90 D,Berenger,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,998,1088,998,1088,,,1088,FALSE,FALSE,90,,,,,,
Berkley d. 1753. 73 D,Berkley,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1680,1753,1680,1753,,,1753,FALSE,FALSE,73,,,,,,
Bernard d. 1153 D,Bernard,TRUE,FALSE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1123,1153,1083,1153,,,1153,FALSE,FALSE,,,,,,,
Bernard d. 1153. 63 D,Bernard,FALSE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1090,1153,1090,1153,,,1153,FALSE,FALSE,63,,,,,,
Bernardini d. 1444. 64 D.,Bernardini,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1380,1444,1380,1444,,,1444,FALSE,FALSE,64,,,,,,
Bernini d. 1680 Ar,Bernini,TRUE,FALSE,FALSE,Poets and Artists,Ar,Architect,,,1650,1680,1610,1680,,,1680,FALSE,FALSE,,,,,,,
Bernini d. 1680. 82 Ar,Bernini,FALSE,TRUE,FALSE,Poets and Artists,Ar,Architect,,,1598,1680,1598,1680,,,1680,FALSE,FALSE,82,,,,,,
Bernoulli d. 1705. 50 M,Bernoulli,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1655,1705,1655,1705,,,1705,FALSE,FALSE,50,,,,,,
Berosus fl. 268 BC H,Berosus,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,-287,-257,-317,-237,,,,,,,-267,FALSE,FALSE,FALSE,FALSE,
Bertram fl. 840 D,Bertram,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,820,850,790,870,,,,,,,840,FALSE,FALSE,FALSE,FALSE,
Bessarion d. 1472 77 D,Bessarion,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1395,1472,1395,1472,,,1472,FALSE,FALSE,77,,,,,,
Betterton d. 1710. 75. Act,Betterton,TRUE,TRUE,FALSE,Poets and Artists,Act,Actor,,,1635,1710,1635,1710,,,1710,FALSE,FALSE,75,,,,,,
Beza d. 1605. 87 D,Beza,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1518,1605,1518,1605,,,1605,FALSE,FALSE,87,,,,,,
Bias fl. 601 BC H P.,Bias,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,,,-620,-590,-650,-570,,,,,,,-600,FALSE,FALSE,FALSE,FALSE,
Biddle d. 1662. 46 D,Biddle,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1616,1662,1616,1662,,,1662,FALSE,FALSE,46,,,,,,
Bion fl. 187 BC P,Bion,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-206,-176,-236,-156,,,,,,,-186,FALSE,FALSE,FALSE,FALSE,
Bion Boristhenites d. 247 BC H P. Cyr,Bion Boristhenites,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,Cyr,Cyrenaic,-276,-246,-316,-246,,,-246,FALSE,FALSE,,,,,,,
Black Prince d. 1376. 46,Black Prince,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1330,1376,1330,1376,,,1376,FALSE,FALSE,46,,,,,,
Blake d. 1657. 54,Blake,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1603,1657,1603,1657,,,1657,FALSE,FALSE,54,,,,,,
Blastares M. fl. 1335 L,Blastares M.,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1315,1345,1285,1365,,,,,,,1335,FALSE,FALSE,FALSE,FALSE,
Blondus Flavius d. 1463. 75 H,Blondus Flavius,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1388,1463,1388,1463,,,1463,FALSE,FALSE,75,,,,,,
Boadicea fl. 60,Boadicea,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,40,70,10,90,,,,,,,60,FALSE,FALSE,FALSE,FALSE,
Boccace d. 1376. 62 P,Boccace,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1314,1376,1314,1376,,,1376,FALSE,FALSE,62,,,,,,
Bocchoris d. 751 BC,Bocchoris,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-780,-750,-820,-750,,,-750,FALSE,FALSE,,,,,,,
Bochart d. 1667. 68 Cr,Bochart,FALSE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1599,1667,1599,1667,,,1667,FALSE,FALSE,68,,,,,,
Bodinus d. 1596 Cr,Bodinus,TRUE,FALSE,FALSE,Orators and Critics,Cr,Critic,,,1566,1596,1526,1596,,,1596,FALSE,FALSE,,,,,,,
Bodinus d. 1596. 67 Cr,Bodinus,FALSE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1529,1596,1529,1596,,,1596,FALSE,FALSE,67,,,,,,
"Bœhmen Jacob, d. 1624. 49 D","Bœhmen Jacob,",TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1575,1624,1575,1624,,,1624,FALSE,FALSE,49,,,,,,
Boerhaave d. 1738. 70 Ph,Boerhaave,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,1668,1738,1668,1738,,,1738,FALSE,FALSE,70,,,,,,
Bœthius d. 526 F,Bœthius,TRUE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,496,526,456,526,,,526,FALSE,FALSE,,,,,,,
"Bœthius Hector, b. ab. 1470 H","Bœthius Hector,",FALSE,TRUE,TRUE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1470,1500,1470,1530,1470,TRUE,,,,,,,,,,
Boileau d. 1711. 75 P,Boileau,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1636,1711,1636,1711,,,1711,FALSE,FALSE,75,,,,,,
Boleslaus of Polland d. 1025,Boleslaus of Polland,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,995,1025,955,1025,,,1025,FALSE,FALSE,,,,,,,
Bolingbroke d. 1751. 73,Bolingbroke,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1678,1751,1678,1751,,,1751,FALSE,FALSE,73,,,,,,
Bonaventura d. 1274 D,Bonaventura,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1244,1274,1204,1274,,,1274,FALSE,FALSE,,,,,,,
Booth d. 1733 Act,Booth,TRUE,FALSE,FALSE,Poets and Artists,Act,Actor,,,1703,1733,1663,1733,,,1733,FALSE,FALSE,,,,,,,
Booth d. 1733. 52 Act,Booth,FALSE,TRUE,FALSE,Poets and Artists,Act,Actor,,,1681,1733,1681,1733,,,1733,FALSE,FALSE,52,,,,,,
Borelli d. 1679. 72 M,Borelli,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1607,1679,1607,1679,,,1679,FALSE,FALSE,72,,,,,,
Borgia Cæsar d. 1507,Borgia Cæsar,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1477,1507,1437,1507,,,1507,FALSE,FALSE,,,,,,,
Boscawen d. 1761,Boscawen,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1731,1761,1691,1761,,,1761,FALSE,FALSE,,,,,,,
Bossuet d. 1704. 78 D,Bossuet,TRUE,FALSE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1626,1704,1626,1704,,,1704,FALSE,FALSE,78,,,,,,
Bossuet d. 1704. 78 H,Bossuet,FALSE,FALSE,TRUE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1626,1704,1626,1704,,,1704,FALSE,FALSE,78,,,,,,
Bossuet d. 1704. 78 H,Bossuet,FALSE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1626,1704,1626,1704,,,1704,FALSE,FALSE,78,,,,,,
Boyle d. 1691. 65 M,Boyle,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1626,1691,1626,1691,,,1691,FALSE,FALSE,65,,,,,,
Bracton fl. 1260 L,Bracton,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1240,1270,1210,1290,,,,,,,1260,FALSE,FALSE,FALSE,FALSE,
Bradley d. 1762. 70 M,Bradley,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1692,1762,1692,1762,,,1762,FALSE,FALSE,70,,,,,,
Bradwardin d. af. 1330 M,Bradwardin,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1310,1330,1270,1340,,,1330,FALSE,TRUE,,,,,,,
Bradwardin d. 1350 ab. 60 M,Bradwardin,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1290,1350,1290,1350,,,1350,FALSE,FALSE,,,,,,,
Brasidas d. 422 BC,Brasidas,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-451,-421,-491,-421,,,-421,FALSE,FALSE,,,,,,,
Bravonius d. 1119 H,Bravonius,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1089,1119,1049,1119,,,1119,FALSE,FALSE,,,,,,,
"Bredon, S. fl. 1370 M","Bredon, S.",FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1350,1380,1320,1400,,,,,,,1370,FALSE,FALSE,FALSE,FALSE,
Brennus fl. 378 BC,Brennus,FALSE,FALSE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,-397,-367,-427,-347,,,,,,,-377,FALSE,FALSE,FALSE,FALSE,
Brennus fl. 388 BC,Brennus,FALSE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-407,-377,-437,-357,,,,,,,-387,FALSE,FALSE,FALSE,FALSE,
Breton John fl. ab. 1310 L,Breton John,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,,,1260,1340,,,,,,,1310,TRUE,FALSE,FALSE,FALSE,
Briggs d. 1630 ab. 74 M,Briggs,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1556,1630,1556,1630,,,1630,FALSE,FALSE,,,,,,,
Brissonius d. 1591 L,Brissonius,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1561,1591,1521,1591,,,1591,FALSE,FALSE,,,,,,,
Britannicus d. 55,Britannicus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,25,55,-15,55,,,55,FALSE,FALSE,,,,,,,
Brito fl. 1224 P,Brito,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1204,1234,1174,1254,,,,,,,1224,FALSE,FALSE,FALSE,FALSE,
Bruneleschi Philippo fl. 1500 Pa,Bruneleschi Philippo,TRUE,TRUE,FALSE,Poets and Artists,Pa,Painter,,,1480,1510,1450,1530,,,,,,,1500,FALSE,FALSE,FALSE,FALSE,
Bruno Coloniensis d. 1101 D,Bruno Coloniensis,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1071,1101,1031,1101,,,1101,FALSE,FALSE,,,,,,,
Bruno Insuber d. 1125 D,Bruno Insuber,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1095,1125,1055,1125,,,1125,FALSE,FALSE,,,,,,,
Bruno Jordano d. 1600 D,Bruno Jordano,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1570,1600,1530,1600,,,1600,FALSE,FALSE,,,,,,,
Brutus Junius d. 509 BC,Brutus Junius,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-538,-508,-578,-508,,,-508,FALSE,FALSE,,,,,,,
Brutus Marcus d. 42 BC 43,Brutus Marcus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-84,-41,-84,-41,,,-41,FALSE,FALSE,43,,,,,,
Bucer d. 1551. 66 D,Bucer,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1485,1551,1485,1551,,,1551,FALSE,FALSE,66,,,,,,
Buchanan d. 1582. 76 H,Buchanan,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1506,1582,1506,1582,,,1582,FALSE,FALSE,76,,,,,,
Buckingham d. 1628. 36,Buckingham,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1592,1628,1592,1628,,,1628,FALSE,FALSE,36,,,,,,
Budeus d. 1540. 73 Cr,Budeus,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1467,1540,1467,1540,,,1540,FALSE,FALSE,73,,,,,,
Bullinger d. 1575. 71 D,Bullinger,FALSE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1504,1575,1504,1575,,,1575,FALSE,FALSE,71,,,,,,
Bupalus fl. 540 BC St,Bupalus,TRUE,TRUE,FALSE,Poets and Artists,St,Statuary,,,-559,-529,-589,-509,,,,,,,-539,FALSE,FALSE,FALSE,FALSE,
Burchardus fl. 996 L,Burchardus,TRUE,FALSE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,976,1006,946,1026,,,,,,,996,FALSE,FALSE,FALSE,FALSE,
Burchardus fl. 1026 L,Burchardus,FALSE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1006,1036,976,1056,,,,,,,1026,FALSE,FALSE,FALSE,FALSE,
Burleigh d. 1598,Burleigh,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1568,1598,1528,1598,,,1598,FALSE,FALSE,,,,,,,
Burnet d. 1715. 72 H,Burnet,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1643,1715,1643,1715,,,1715,FALSE,FALSE,72,,,,,,
Burrhus d. 62,Burrhus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,32,62,-8,62,,,62,FALSE,FALSE,,,,,,,
Busbequius d. 1611. 91 H,Busbequius,TRUE,FALSE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1520,1611,1520,1611,,,1611,FALSE,FALSE,91,,,,,,
Busbequius d. 1592. 70 H,Busbequius,FALSE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1522,1592,1522,1592,,,1592,FALSE,FALSE,70,,,,,,
Buteo fl. 1559 M,Buteo,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1539,1569,1509,1589,,,,,,,1559,FALSE,FALSE,FALSE,FALSE,
Buteo fl. 1572. 80 M,Buteo,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1518,1598,1518,1598,,,,,,80,1572,FALSE,FALSE,FALSE,FALSE,
Butler d. 1680. 68 P,Butler,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1612,1680,1612,1680,,,1680,FALSE,FALSE,68,,,,,,
Butler d. 1752. 60 D,Butler,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1692,1752,1692,1752,,,1752,FALSE,FALSE,60,,,,,,
Buxtorf Sen. d. 1629. 65 Cr,Buxtorf Sen.,TRUE,FALSE,FALSE,Orators and Critics,Cr,Critic,,,1564,1629,1564,1629,,,1629,FALSE,FALSE,65,,,,,,
Buxtorf Sen. d. 1629. 65,Buxtorf Sen.,FALSE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1564,1629,1564,1629,,,1629,FALSE,FALSE,65,,,,,,
Buzur Giumhur fl. 580 M,Buzur Giumhur,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,560,590,530,610,,,,,,,580,FALSE,FALSE,FALSE,FALSE,
"Cabot, Sebastian d. 1557 above 70","Cabot, Sebastian",FALSE,TRUE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,1487,1557,1477,1557,,,1557,FALSE,FALSE,,,,,,,
