text,name,in_1764,in_1778,in_names_omitted,division,occupation_abbr,occupation,sect_abbr,sect,start_1,end_1,start_2,end_2,born,born_about,died,died_about,died_after,age,flourished,flourished_about,flourished_before,flourished_after,flourished_century,lived
Sethosis fl. 701 BC,Sethosis,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-720,-690,-750,-670,,,,,,,-700,FALSE,FALSE,FALSE,FALSE,
Severus d. 211. 56,Severus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,155,211,155,211,,,211,FALSE,FALSE,56,,,,,,
Severus fl. 30 BC P,Severus,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-49,-19,-79,1,,,,,,,-29,FALSE,FALSE,FALSE,FALSE,
Sextus Ælius Catus fl. 201 BC L,Sextus Ælius Catus,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,-220,-190,-250,-170,,,,,,,-200,FALSE,FALSE,FALSE,FALSE,
Sextus Empiricus fl. 170 H P.,Sextus Empiricus,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,,,150,180,120,200,,,,,,,170,FALSE,FALSE,FALSE,FALSE,
Sforza Fr. d. 1466. 66,Sforza Fr.,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1400,1466,1400,1466,,,1466,FALSE,FALSE,66,,,,,,
Shafei d. 819. 54 Moh,Shafei,TRUE,TRUE,FALSE,Divines and Metaphysicians,Moh,Muslim Religious Person,,,765,819,765,819,,,819,FALSE,FALSE,54,,,,,,
"Shaftesbury, E. of, d. 1682. 61","Shaftesbury, E. of,",FALSE,TRUE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,1621,1682,1621,1682,,,1682,FALSE,FALSE,61,,,,,,
Shaftsbury d. 1713. 42 Mor,Shaftsbury,TRUE,TRUE,FALSE,Divines and Metaphysicians,Mor,Moralist,,,1671,1713,1671,1713,,,1713,FALSE,FALSE,42,,,,,,
Shakefpeare d. 1616. 53 P,Shakefpeare,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1563,1616,1563,1616,,,1616,FALSE,FALSE,53,,,,,,
Shammai fl. 15 Cent. J,Shammai,TRUE,TRUE,FALSE,Divines and Metaphysicians,J,Jewish Religious Person,,,1430,1460,1400,1480,,,,,,,1450,FALSE,FALSE,FALSE,TRUE,
Sherlock d. 1761. 83 D,Sherlock,FALSE,TRUE,TRUE,Divines and Metaphysicians,D,Christian Religious Person,,,1678,1761,1678,1761,,,1761,FALSE,FALSE,83,,,,,,
Shi—tzu d. 1296. 80,Shi—tzu,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1216,1296,1216,1296,,,1296,FALSE,FALSE,80,,,,,,
Shœffer P. d. 1430,Shœffer P.,FALSE,TRUE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,1400,1430,1360,1430,,,1430,FALSE,FALSE,,,,,,,
"Shona, Ebn, d. 1478 H","Shona, Ebn,",TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1448,1478,1408,1478,,,1478,FALSE,FALSE,,,,,,,
"Shovel, Cloudesly, d. 1707. 57","Shovel, Cloudesly,",FALSE,TRUE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,1650,1707,1650,1707,,,1707,FALSE,FALSE,57,,,,,,
Shunchi d. 1662. 24,Shunchi,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1638,1662,1638,1662,,,1662,FALSE,FALSE,24,,,,,,
Sigebert d. 1113 H,Sigebert,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1083,1113,1043,1113,,,1113,FALSE,FALSE,,,,,,,
Sigismund d. 1438. 69,Sigismund,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1369,1438,1369,1438,,,1438,FALSE,FALSE,69,,,,,,
Sigonius d. 1585. 60 Cr,Sigonius,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1525,1585,1525,1585,,,1585,FALSE,FALSE,60,,,,,,
Silius Italicus d. 74. 75 P,Silius Italicus,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-1,74,-1,74,,,74,FALSE,FALSE,75,,,,,,
Simeon of Durham fl. 1165 H,Simeon of Durham,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1145,1175,1115,1195,,,,,,,1165,FALSE,FALSE,FALSE,FALSE,
Simeon Levi fl. 1027 J,Simeon Levi,TRUE,TRUE,FALSE,Divines and Metaphysicians,J,Jewish Religious Person,,,1007,1037,977,1057,,,,,,,1027,FALSE,FALSE,FALSE,FALSE,
Simeon Mamantes fl. 1050 D,Simeon Mamantes,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1030,1060,1000,1080,,,,,,,1050,FALSE,FALSE,FALSE,FALSE,
Simeon Metaphrastes fl. 900 H,Simeon Metaphrastes,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,880,910,850,930,,,,,,,900,FALSE,FALSE,FALSE,FALSE,
Simeon Sethus fl. 1075 Ph,Simeon Sethus,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,1055,1085,1025,1105,,,,,,,1075,FALSE,FALSE,FALSE,FALSE,
Simeon Stilites d. 460 F,Simeon Stilites,TRUE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,430,460,390,460,,,460,FALSE,FALSE,,,,,,,
Simon d. 283 BC J,Simon,TRUE,TRUE,FALSE,Divines and Metaphysicians,J,Jewish Religious Person,,,-312,-282,-352,-282,,,-282,FALSE,FALSE,,,,,,,
Simonidies d. 469 BC 90 P,Simonidies,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-558,-468,-558,-468,,,-468,FALSE,FALSE,90,,,,,,
Simplicius fl. 546 H P.,Simplicius,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,,,526,556,496,576,,,,,,,546,FALSE,FALSE,FALSE,FALSE,
"Simpson, Thomas, d. 1761. 50 M","Simpson, Thomas,",TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1711,1761,1711,1761,,,1761,FALSE,FALSE,50,,,,,,
Sisenna L. fl. 91 BC H,Sisenna L.,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,-110,-80,-140,-60,,,,,,,-90,FALSE,FALSE,FALSE,FALSE,
Sixtus 4th d. 1484 Po,Sixtus 4th,TRUE,TRUE,FALSE,Divines and Metaphysicians,Po,Pope,,,1454,1484,1414,1484,,,1484,FALSE,FALSE,,,,,,,
Sixtus 5th d. 1590. 68 Po,Sixtus 5th,TRUE,TRUE,FALSE,Divines and Metaphysicians,Po,Pope,,,1522,1590,1522,1590,,,1590,FALSE,FALSE,68,,,,,,
Sleidan J. d. 1556 H,Sleidan J.,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1526,1556,1486,1556,,,1556,FALSE,FALSE,,,,,,,
"Sloane, Hans, d. 1752. 92 M","Sloane, Hans,",TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1660,1752,1660,1752,,,1752,FALSE,FALSE,92,,,,,,
Snorro Sturlesonius b. 1179 P,Snorro Sturlesonius,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1179,1209,1179,1239,1179,FALSE,,,,,,,,,,
"Socinus, Faustus, d. 1604. 65 D","Socinus, Faustus,",TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1539,1604,1539,1604,,,1604,FALSE,FALSE,65,,,,,,
Socrates d. 400 BC 70 H P.,Socrates,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,,,-469,-399,-469,-399,,,-399,FALSE,FALSE,70,,,,,,
Socrates fl. 419 H,Socrates,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,399,429,369,449,,,,,,,419,FALSE,FALSE,FALSE,FALSE,
Sœmund fl. 1114 P,Sœmund,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1094,1124,1064,1144,,,,,,,1114,FALSE,FALSE,FALSE,FALSE,
Soleiman d. 1085,Soleiman,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1055,1085,1015,1085,,,1085,FALSE,FALSE,,,,,,,
Soleiman 1st Turk d. 1566. 74,Soleiman 1st Turk,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1492,1566,1492,1566,,,1566,FALSE,FALSE,74,,,,,,
Solinus fl. 81 H,Solinus,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,61,91,31,111,,,,,,,81,FALSE,FALSE,FALSE,FALSE,
Solomon d. 975 BC 58,Solomon,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-1032,-974,-1032,-974,,,-974,FALSE,FALSE,58,,,,,,
Solomon d. 919 P,Solomon,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,889,919,849,919,,,919,FALSE,FALSE,,,,,,,
Solon d. 549 BC 80,Solon,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-628,-548,-628,-548,,,-548,FALSE,FALSE,80,,,,,,
